step,idx1,idx2,preference,type,uncertainty
0,0,1,1,human,0.23558236327912407
1,0,2,1,human,0.5633145861619936
2,0,3,0,human,0.9866829644852495
3,0,4,1,auto,0.0
4,0,5,1,auto,0.0
5,0,6,1,human,0.6458665685179709
6,0,7,0,human,0.9969410115417932
7,0,8,0,human,0.9830388579275517
8,0,9,1,human,0.4804541689329602
9,0,10,1,human,0.22549927921307789
10,0,11,1,auto,0.1556181987522134
11,0,12,0,human,0.9561855390367333
12,0,13,0,human,0.9110889213214701
13,0,14,1,human,0.9964257175453585
14,0,15,0,human,0.968850879136152
15,0,16,1,human,0.5540866949185181
16,0,17,1,auto,0.0
17,0,18,1,human,0.45592517521296994
18,0,19,1,human,0.5444110437386427
19,0,20,1,human,0.6878748079997474
20,0,21,0,human,0.9728428417712823
21,0,22,1,auto,0.0
22,0,23,1,human,0.29646937928164563
23,0,24,1,human,0.37412378147855285
24,0,25,0,human,0.837633707447636
25,0,26,1,human,0.6065689323688572
26,0,27,0,human,0.9880571337661519
27,0,28,0,human,0.9663659106265426
28,0,29,1,auto,0.0
29,0,30,1,human,0.8331296497168992
30,0,31,0,human,0.9842048354011372
31,0,32,1,human,0.8088673299620321
32,0,33,1,human,0.73164210049226
33,0,34,1,auto,0.0
34,0,35,1,human,0.5803944228439024
35,0,36,0,human,0.8783697842895062
36,0,37,1,human,0.7082837480517155
37,0,38,1,auto,0.0
38,0,39,1,human,0.9631655676871202
39,0,40,0,human,0.9998100618614629
40,0,41,0,human,0.9459709850179744
41,0,42,0,human,0.8792923155648993
42,0,43,0,human,0.8638651589753996
43,0,44,1,human,0.8636980722355487
44,0,45,1,human,0.41067806185807776
45,0,46,1,auto,0.0
46,0,47,1,human,0.7890214971923075
47,0,48,0,human,0.999394772613345
48,0,49,0,human,0.4421645518664469
49,0,50,1,human,0.6992274938014001
50,0,51,1,human,0.863828774666267
51,0,52,0,human,0.9240369398185224
52,0,53,1,human,0.9914536972904159
53,0,54,0,human,0.8778846935563882
54,0,55,0,human,0.5546522073804275
55,0,56,1,human,0.7067550972308982
56,0,57,1,human,0.6669083973156442
57,0,58,0,human,0.9469500471354909
58,0,59,1,human,0.6475683344897333
59,0,60,1,human,0.920636386500934
60,0,61,0,human,0.9533418794688315
61,0,62,0,human,0.789976860262863
62,0,63,1,auto,0.0
63,0,64,0,human,0.998242996978049
64,0,65,1,human,0.8044708944941761
65,0,66,0,human,0.864580030310159
66,0,67,1,human,0.9283948399725417
67,0,68,0,human,0.8970115138729783
68,0,69,1,human,0.6796171157996826
69,0,70,0,human,0.9822464904482144
70,0,71,0,human,0.8714827245605181
71,0,72,0,human,0.7164870885817942
72,0,73,1,auto,0.0
73,0,74,0,human,0.5953817951404601
74,0,75,1,human,0.9948566141398321
75,0,76,1,human,0.7297333744896095
76,0,77,0,human,0.8953985139667057
77,0,78,0,human,0.5456927664479141
78,0,79,0,human,0.7522575665064035
79,0,80,0,human,0.7128396140211066
80,0,81,0,human,0.6873911090150865
81,0,82,0,human,0.6264802301493335
82,0,83,1,human,0.9960576741161911
83,0,84,0,human,0.8116803253655066
84,0,85,0,human,0.534765552850907
85,0,86,1,human,0.9935661155272777
86,0,87,1,human,0.9997941768607864
87,0,88,1,human,0.998300885627559
88,0,89,1,human,0.8074738601850096
89,0,90,0,human,0.5762578664278112
90,0,91,1,auto,0.0
91,0,92,1,human,0.7070566393976815
92,0,93,1,human,0.9841893278043929
93,0,94,1,auto,0.0
94,0,95,0,human,0.9224315321460117
95,0,96,0,human,0.8304737506296754
96,0,97,0,human,0.8663600274959836
97,0,98,1,auto,0.0
98,0,99,1,human,0.9947398958949787
99,0,100,0,human,0.5203431047207316
